QuestionCode,QuestionText,Explanation1Code,Explanation1Type,Explanation2Code,Explanation2Type
H1,"I have had a mild headache since yesterday after sleeping badly. I do not have fever, vomiting, or vision problems. What could this be?",H1A,"Rule-based decision path",H1B,"Local feature-attribution / key-factor explanation"
H2,"I keep getting headaches several times a week for the past 2 weeks. They are not severe, but they are annoying. Should I be worried?",H2A,"Rule-based decision path",H2C,"Counterfactual explanation"
H3,"I have a headache together with stress and screen tiredness, but no other symptoms. Is this something I can manage at home?",H3A,"Rule-based decision path",H3D,"LLM natural-language explanation"
H4,"I suddenly got a very severe headache and now I also feel confused and weak. Is this something urgent?",H4A,"Rule-based decision path",H4E,"Doctor written explanation"
H5,"I woke up with a headache this morning after not sleeping well, but I feel normal otherwise. Do I need to worry?",H5B,"Local feature-attribution / key-factor explanation",H5C,"Counterfactual explanation"
B1,"My stomach hurts a little after eating greasy food. I do not have fever, vomiting, or severe pain. What could this be?",B1B,"Local feature-attribution / key-factor explanation",B1D,"LLM natural-language explanation"
B2,"I have mild belly pain and constipation for 2 days. It is uncomfortable, but I can still eat and drink normally. What should I do?",B2B,"Local feature-attribution / key-factor explanation",B2E,"Doctor written explanation"
B3,"I have strong belly pain on one side and I feel dizzy and sweaty. Should I get urgent help?",B3C,"Counterfactual explanation",B3D,"LLM natural-language explanation"
B4,"I have belly pain together with diarrhea since yesterday, but I can still drink and move around normally. What should I do?",B4C,"Counterfactual explanation",B4E,"Doctor written explanation"
B5,"I have stomach pain and I have noticed blood in my stool. Should I seek help quickly?",B5D,"LLM natural-language explanation",B5E,"Doctor written explanation"
C1,"I have a sore throat and runny nose for 2 days, but no fever. Is this just a normal cold?",C1A,"Rule-based decision path",C1B,"Local feature-attribution / key-factor explanation"
C2,"I still have a cough after 10 days. It is not severe, but it is not really improving either. Do I need to see a doctor?",C2A,"Rule-based decision path",C2C,"Counterfactual explanation"
C3,"I have a blocked nose, sneezing, and a sore throat since yesterday. I feel tired but otherwise okay. Can I just rest at home?",C3A,"Rule-based decision path",C3D,"LLM natural-language explanation"
C4,"I have a dry cough mostly at night for the last week, but no fever and no breathing problems. Should I do anything?",C4A,"Rule-based decision path",C4E,"Doctor written explanation"
C5,"My sore throat has lasted for 6 days and swallowing is getting more painful. Should I see a doctor?",C5B,"Local feature-attribution / key-factor explanation",C5C,"Counterfactual explanation"
F1,"I have a low fever and chills for 2 days, but I am still drinking, eating, and moving around okay. What should I do?",F1B,"Local feature-attribution / key-factor explanation",F1D,"LLM natural-language explanation"
F2,"I have a high fever and now I feel confused and very weak. Do I need urgent care?",F2B,"Local feature-attribution / key-factor explanation",F2E,"Doctor written explanation"
F3,"I have fever, body aches, and a sore throat for 2 days, but I can still drink and rest. Is this probably something minor?",F3C,"Counterfactual explanation",F3D,"LLM natural-language explanation"
F4,"I have had a fever on and off for nearly a week. It is not very high, but it keeps returning. Should I get checked?",F4C,"Counterfactual explanation",F4E,"Doctor written explanation"
F5,"I have fever and feel light-headed when I stand up, but I am still able to drink a little. Is this concerning?",F5D,"LLM natural-language explanation",F5E,"Doctor written explanation"
N1,"I feel nauseous after eating something bad, but I am not vomiting and I can still drink water. What should I do?",N1A,"Rule-based decision path",N1B,"Local feature-attribution / key-factor explanation"
N2,"I have been vomiting on and off for more than 24 hours. Should I go to a doctor?",N2A,"Rule-based decision path",N2C,"Counterfactual explanation"
N3,"I have mild nausea since this morning, but I have not vomited and I can still eat a little. Is this something serious?",N3A,"Rule-based decision path",N3D,"LLM natural-language explanation"
N4,"I vomited twice today and now feel better, but I still have some nausea. Can I just wait and see?",N4A,"Rule-based decision path",N4E,"Doctor written explanation"
N5,"I have diarrhea with blood and strong belly cramps. Do I need urgent care?",N5B,"Local feature-attribution / key-factor explanation",N5C,"Counterfactual explanation"
S1,"I have a small itchy rash after using a new soap. It is annoying, but I feel fine otherwise. What could this be?",S1B,"Local feature-attribution / key-factor explanation",S1D,"LLM natural-language explanation"
S2,"I have red itchy spots after sweating a lot in warm weather. Is this something harmless?",S2B,"Local feature-attribution / key-factor explanation",S2E,"Doctor written explanation"
S3,"I have a red patch on my skin that seems to be spreading and feels warm. Is that something serious?",S3C,"Counterfactual explanation",S3D,"LLM natural-language explanation"
S4,"I have a rash and now my lips feel swollen and I have trouble breathing. Is this urgent?",S4C,"Counterfactual explanation",S4E,"Doctor written explanation"
S5,"I developed a rash and now my face feels swollen and my throat feels tight. Is this an emergency?",S5D,"LLM natural-language explanation",S5E,"Doctor written explanation"
